ambito_nombre,embalse_nombre,mes,2020,2021,media_5,media_10
Cantábrico Occidental,Alfilorios,1,91.66666666666667,87.5,79.5,74.0625
Cantábrico Occidental,Alfilorios,2,95.83333333333333,93.75,91.25,86.5625
Cantábrico Occidental,Alfilorios,3,96.66666666666667,95.0,91.875,94.625
Cantábrico Occidental,Alfilorios,4,100.0,100.0,92.5,96.25
Cantábrico Occidental,Alfilorios,5,100.0,100.0,90.0,95.0
Cantábrico Occidental,Alfilorios,6,100.0,100.0,86.875,91.875
Cantábrico Occidental,Alfilorios,7,95.3125,100.0,82.625,85.4375
Cantábrico Occidental,Alfilorios,8,84.72222222222223,90.0,73.875,74.1875
Cantábrico Occidental,Alfilorios,9,69.44444444444444,71.875,65.375,63.875
Cantábrico Occidental,Alfilorios,10,64.0625,56.25,57.625,53.8125
Cantábrico Occidental,Alfilorios,11,62.5,52.5,63.0,57.375
Cantábrico Occidental,Alfilorios,12,75.0,75.0,77.25,67.125
Cantábrico Occidental,Alsa - Mediajo,1,96.21,96.58875,84.64590000000001,72.2492
Cantábrico Occidental,Alsa - Mediajo,2,95.07333333333334,96.5875,89.2895,76.76775
Cantábrico Occidental,Alsa - Mediajo,3,94.846,94.998,87.7767,76.98095
Cantábrico Occidental,Alsa - Mediajo,4,97.34666666666668,96.02,90.3615,78.8339
Cantábrico Occidental,Alsa - Mediajo,5,98.34545454545454,97.39999999999999,91.9873,79.5256
Cantábrico Occidental,Alsa - Mediajo,6,96.815,95.45,92.0355,79.6103
Cantábrico Occidental,Alsa - Mediajo,7,96.01875,95.45,88.17620000000001,76.28685
Cantábrico Occidental,Alsa - Mediajo,8,92.42333333333333,91.818,87.646,74.80975
Cantábrico Occidental,Alsa - Mediajo,9,87.87777777777778,86.3625,84.947,72.4149
Cantábrico Occidental,Alsa - Mediajo,10,87.49875,82.955,85.9083,69.52085
Cantábrico Occidental,Alsa - Mediajo,11,89.39111111111112,84.544,90.77029999999999,71.35679999999999
Cantábrico Occidental,Alsa - Mediajo,12,97.97777777777777,100.0,95.27149999999999,76.89695
Cantábrico Occidental,Arbón,1,90.24,89.935,89.9232,91.25195
Cantábrico Occidental,Arbón,2,90.44333333333333,90.24,91.216,91.727
Cantábrico Occidental,Arbón,3,90.24,89.99600000000001,90.7036,91.195
Cantábrico Occidental,Arbón,4,90.64666666666666,89.935,90.58160000000001,91.14694999999999
Cantábrico Occidental,Arbón,5,90.68363636363637,90.58857142857143,90.3864,90.81219999999999
Cantábrico Occidental,Arbón,6,91.216,90.24,90.2644,91.09405
Cantábrico Occidental,Arbón,7,89.02,89.63,89.142,90.50604999999999
Cantábrico Occidental,Arbón,8,89.15666666666667,88.28999999999999,89.606,90.36945
Cantábrico Occidental,Arbón,9,91.32444444444444,90.85,91.0208,90.76034999999999
Cantábrico Occidental,Arbón,10,89.02,88.41,89.752,90.11834999999999
Cantábrico Occidental,Arbón,11,90.78222222222222,89.752,90.2654,90.38975
Cantábrico Occidental,Arbón,12,89.69999999999999,89.6325,90.3629,90.92505
Cantábrico Occidental,"Barca, La",1,48.52916666666667,48.16125,48.7353,53.23440000000001
Cantábrico Occidental,"Barca, La",2,52.20583333333334,52.57375,54.4105,59.043499999999995
Cantábrico Occidental,"Barca, La",3,55.686,62.059000000000005,56.324799999999996,58.1034
Cantábrico Occidental,"Barca, La",4,62.98916666666667,70.95375,68.8529,72.191
Cantábrico Occidental,"Barca, La",5,80.21363636363637,84.45285714285714,80.85340000000001,81.8827
Cantábrico Occidental,"Barca, La",6,94.12,92.944,93.973,90.17765
Cantábrico Occidental,"Barca, La",7,94.48750000000001,93.385,92.8256,88.66364999999999
Cantábrico Occidental,"Barca, La",8,88.89222222222222,90.592,89.88390000000001,87.25165
Cantábrico Occidental,"Barca, La",9,87.91000000000001,86.03,86.4118,82.63275
Cantábrico Occidental,"Barca, La",10,73.1625,76.47,75.6178,71.824
Cantábrico Occidental,"Barca, La",11,66.01444444444445,65.882,67.0014,63.07435
Cantábrico Occidental,"Barca, La",12,54.24888888888889,56.6175,53.5587,52.2938
Cantábrico Occidental,"Cohilla, La",1,45.13916666666666,42.70875,36.8332,36.16725
Cantábrico Occidental,"Cohilla, La",2,50.69416666666667,55.207499999999996,59.9995,58.9585
Cantábrico Occidental,"Cohilla, La",3,51.11,53.331999999999994,55.7506,64.7923
Cantábrico Occidental,"Cohilla, La",4,65.27833333333334,62.5,61.084199999999996,70.834
Cantábrico Occidental,"Cohilla, La",5,56.060909090909085,50.0,53.999700000000004,58.9582
Cantábrico Occidental,"Cohilla, La",6,44.999,28.332,47.5826,45.12425
Cantábrico Occidental,"Cohilla, La",7,22.915,29.165,23.249599999999997,27.0839
Cantábrico Occidental,"Cohilla, La",8,16.66888888888889,16.67,17.666800000000002,18.87605
Cantábrico Occidental,"Cohilla, La",9,16.67,16.67,22.9185,22.625700000000002
Cantábrico Occidental,"Cohilla, La",10,16.66625,8.33,21.6669,21.500999999999998
Cantábrico Occidental,"Cohilla, La",11,27.77777777777778,30.0,37.2495,31.8334
Cantábrico Occidental,"Cohilla, La",12,56.48222222222223,85.41499999999999,56.00019999999999,47.16725
Cantábrico Occidental,Doiras,1,81.27083333333333,80.9275,80.10319999999999,83.20315
Cantábrico Occidental,Doiras,2,86.85416666666667,85.3075,86.288,88.985
Cantábrico Occidental,Doiras,3,84.94866666666667,83.712,86.2371,88.06405
Cantábrico Occidental,Doiras,4,88.57333333333332,87.88625,87.112,87.6316
Cantábrico Occidental,Doiras,5,89.97090909090909,89.98428571428572,87.174,87.73015000000001
Cantábrico Occidental,Doiras,6,90.102,89.69,88.9263,87.795
Cantábrico Occidental,Doiras,7,89.69,88.9175,87.8138,87.2805
Cantábrico Occidental,Doiras,8,85.45222222222222,84.94800000000001,87.59700000000001,86.46625
Cantábrico Occidental,Doiras,9,80.41222222222223,77.32000000000001,82.7627,80.66735
Cantábrico Occidental,Doiras,10,78.22125,73.455,78.4221,77.23814999999999
Cantábrico Occidental,Doiras,11,82.01444444444445,79.174,81.6603,80.37480000000001
Cantábrico Occidental,Doiras,12,84.4211111111111,85.3075,85.5251,82.7319
Cantábrico Occidental,Rioseco,1,77.08333333333333,78.125,73.75,73.75
Cantábrico Occidental,Rioseco,2,85.41666666666667,87.5,84.375,84.375
Cantábrico Occidental,Rioseco,3,76.66666666666667,75.0,74.6875,74.6875
Cantábrico Occidental,Rioseco,4,79.16666666666667,75.0,80.9375,80.9375
Cantábrico Occidental,Rioseco,5,77.27272727272727,78.57142857142857,74.0625,74.0625
Cantábrico Occidental,Rioseco,6,90.0,85.0,93.4375,93.4375
Cantábrico Occidental,Rioseco,7,78.125,87.5,77.8125,77.8125
Cantábrico Occidental,Rioseco,8,66.66666666666667,70.0,62.8125,62.8125
Cantábrico Occidental,Rioseco,9,63.888888888888886,75.0,62.25,62.25
Cantábrico Occidental,Rioseco,10,71.875,68.75,67.75,67.75
Cantábrico Occidental,Rioseco,11,69.44444444444444,75.0,72.5,72.5
Cantábrico Occidental,Rioseco,12,91.66666666666667,93.75,87.25,87.25
Cantábrico Occidental,Salime,1,58.61666666666667,52.35125,57.677200000000006,63.63100000000001
Cantábrico Occidental,Salime,2,68.60833333333333,67.99625,76.05250000000001,79.7085
Cantábrico Occidental,Salime,3,67.16799999999999,62.330999999999996,78.2595,80.71455
Cantábrico Occidental,Salime,4,64.81666666666666,56.01375,80.6606,83.85810000000001
Cantábrico Occidental,Salime,5,69.61727272727272,58.48571428571428,86.425,89.3533
Cantábrico Occidental,Salime,6,80.787,80.75,88.1038,88.21340000000001
Cantábrico Occidental,Salime,7,75.09375,77.255,82.9244,80.4919
Cantábrico Occidental,Salime,8,66.91666666666667,66.84200000000001,73.1692,69.85135
Cantábrico Occidental,Salime,9,57.18444444444444,51.785,60.063300000000005,59.783550000000005
Cantábrico Occidental,Salime,10,48.025,42.76,47.9476,50.3517
Cantábrico Occidental,Salime,11,47.285555555555554,41.28,50.7555,52.46255
Cantábrico Occidental,Salime,12,57.474444444444444,56.8575,60.084999999999994,56.619499999999995
Cantábrico Occidental,Tanes,1,68.13916666666667,68.75125,68.7481,70.66385
Cantábrico Occidental,Tanes,2,73.77499999999999,72.795,73.3215,74.161
Cantábrico Occidental,Tanes,3,82.74600000000001,83.825,80.61179999999999,80.59594999999999
Cantábrico Occidental,Tanes,4,85.0475,85.2925,86.23400000000001,86.55015
Cantábrico Occidental,Tanes,5,92.78272727272727,92.85857142857142,92.29180000000001,91.46195
Cantábrico Occidental,Tanes,6,96.766,97.06,95.40990000000001,95.0355
Cantábrico Occidental,Tanes,7,95.95750000000001,95.59,95.2757,92.55975000000001
Cantábrico Occidental,Tanes,8,86.92888888888889,89.414,85.1024,82.43285
Cantábrico Occidental,Tanes,9,75.81666666666666,76.47,76.14930000000001,71.8374
Cantábrico Occidental,Tanes,10,77.5725,72.06,71.2646,63.526700000000005
Cantábrico Occidental,Tanes,11,74.51,73.53,74.85249999999999,66.25489999999999
Cantábrico Occidental,Tanes,12,69.93555555555555,69.855,68.79400000000001,69.3703
Cantábrico Oriental,Añarbe,1,77.8525,78.94875,79.1587,77.795
Cantábrico Oriental,Añarbe,2,77.1925,80.5925,82.7625,80.0745
Cantábrico Oriental,Añarbe,3,81.92933333333333,80.263,84.8943,80.4242
Cantábrico Oriental,Añarbe,4,83.335,79.60875,84.8685,80.85499999999999
Cantábrico Oriental,Añarbe,5,84.68818181818182,80.82428571428571,84.5776,80.7435
Cantábrico Oriental,Añarbe,6,80.524,74.208,84.3151,80.25985
Cantábrico Oriental,Añarbe,7,78.2925,77.63499999999999,81.2122,77.4132
Cantábrico Oriental,Añarbe,8,77.77888888888889,78.424,78.2381,73.66454999999999
Cantábrico Oriental,Añarbe,9,73.38888888888889,74.34,75.97409999999999,70.55485
Cantábrico Oriental,Añarbe,10,79.275,73.68,75.9192,69.91275
Cantábrico Oriental,Añarbe,11,80.11777777777777,77.37,80.078,72.88345000000001
Cantábrico Oriental,Añarbe,12,79.24111111111111,79.6075,80.6318,77.36435
Cantábrico Oriental,Ibiur,1,95.83333333333333,100.0,86.0,80.0625
Cantábrico Oriental,Ibiur,2,93.75,96.875,94.375,88.75
Cantábrico Oriental,Ibiur,3,93.33333333333333,93.75,92.625,91.5625
Cantábrico Oriental,Ibiur,4,92.70833333333333,93.75,90.625,92.125
Cantábrico Oriental,Ibiur,5,94.31818181818181,91.07142857142857,92.5,92.375
Cantábrico Oriental,Ibiur,6,88.75,87.5,88.625,89.3125
Cantábrico Oriental,Ibiur,7,84.375,81.25,82.75,84.6875
Cantábrico Oriental,Ibiur,8,79.16666666666667,75.0,78.875,79.875
Cantábrico Oriental,Ibiur,9,75.0,75.0,75.0,75.9375
