ambito_nombre,embalse_nombre,porcentaje_medio_10
Cantábrico Occidental,alfilorios,78.75922509225093
Cantábrico Occidental,alsa - mediajo,76.2189667896679
Cantábrico Occidental,arbón,90.8350553505535
Cantábrico Occidental,"barca, la",71.2940590405904
Cantábrico Occidental,"cohilla, la",42.08223247232472
Cantábrico Occidental,doiras,84.72476014760147
Cantábrico Occidental,rioseco,76.23456790123457
Cantábrico Occidental,salime,70.23243542435425
Cantábrico Occidental,somiedo (lagos),37.16546666666667
Cantábrico Occidental,tanes,78.7609594095941
Cantábrico Oriental,añarbe,76.9081180811808
Cantábrico Oriental,ibiur,83.0719557195572
Cantábrico Oriental,ordunte,82.57263837638376
Cantábrico Oriental,san antón,94.13284132841328
Cuenca Mediterránea Andaluza,benínar,13.010535055350553
Cuenca Mediterránea Andaluza,béznar,74.35780442804428
Cuenca Mediterránea Andaluza,casasola,52.58780442804428
Cuenca Mediterránea Andaluza,charco redondo,54.06367158671586
Cuenca Mediterránea Andaluza,concepción,71.09584870848708
Cuenca Mediterránea Andaluza,conde guadalhorce,63.96878228782288
Cuenca Mediterránea Andaluza,cuevas de almanzora,12.150276752767528
Cuenca Mediterránea Andaluza,guadalhorce-guadalteba,70.7039852398524
Cuenca Mediterránea Andaluza,guadarranque,63.3681180811808
Cuenca Mediterránea Andaluza,limonero,46.93285977859779
Cuenca Mediterránea Andaluza,rules,74.26088560885609
Cuenca Mediterránea Andaluza,"viñuela, la",50.91690036900369
Cuencas Internas de Cataluña,boadella,64.81440959409593
Cuencas Internas de Cataluña,catllar,3.544090909090909
Cuencas Internas de Cataluña,la baells,81.36584870848709
Cuencas Internas de Cataluña,la llosa del cavall,80.5350553505535
Cuencas Internas de Cataluña,riudecanyes,49.70479704797048
Cuencas Internas de Cataluña,sant pons,92.9509778597786
Cuencas Internas de Cataluña,sau,70.83653136531366
Cuencas Internas de Cataluña,susqueda,79.26042435424354
Cuencas Internas del País Vasco,ibai-eder,81.92046125461255
Cuencas Internas del País Vasco,urkulu,84.70479704797047
Duero,"agavanzal, nª sª de",83.10322878228781
Duero,aguilar,54.80014760147601
Duero,aldeadávila,93.94608856088561
Duero,almendra,64.41335793357933
Duero,arlanzón,79.82232472324722
Duero,barrios de luna,57.16177121771218
Duero,burgomillodo,72.52232472324722
Duero,camporredondo,52.75675276752767
Duero,casares de arbas,62.630535055350556
Duero,castro,90.4158856088561
Duero,castro de las cogotas,56.43273062730628
Duero,cernadilla,47.178856088560885
Duero,cervera,61.52963099630996
Duero,compuerto,57.4379520295203
Duero,cuerda del pozo,66.30278597785978
Duero,linares del arroyo,61.93636531365314
Duero,"pontón alto, el",88.56077490774908
Duero,porma-(juan benet),59.765645756457566
Duero,puente porto,27.145664206642063
Duero,requejada,47.238265682656824
Duero,riaño,63.602343173431734
Duero,ricobayo,55.361752767527676
Duero,rábanos,100.0
Duero,san josé,100.0
Duero,santa teresa,68.12398523985239
Duero,saucelle,97.20682656826568
Duero,serones,64.60621771217713
Duero,valparaíso,90.03191881918819
Duero,"vencías, las",93.28413284132841
Duero,villagonzalo,100.0
Duero,villalcampo,93.31669741697418
Duero,villameca,54.2619926199262
Duero,águeda,61.52571955719558
Duero,úzquiza,64.66435424354243
Ebro,albiña,72.02952029520296
Ebro,alcañiz (estanca),72.63974169741697
Ebro,alloz,63.51321033210331
Ebro,barasona,69.61345018450184
Ebro,baserca,57.69027675276753
Ebro,búbal,50.85232472324723
Ebro,calanda,57.55415129151291
Ebro,camarasa,70.54566420664207
Ebro,canelles,65.64929889298892
Ebro,caspe,52.209372693726934
Ebro,cavallers,60.33210332103321
Ebro,certescáns,74.87315498154982
Ebro,ciurana,65.71413284132841
Ebro,cueva foradada,64.24809963099631
Ebro,ebro,68.18324723247233
Ebro,enciso,52.89070588235294
Ebro,escales,72.34525830258302
Ebro,eúgui,76.17178966789668
Ebro,gonzález lacasa,59.2919926199262
Ebro,"grado, el",86.42590405904059
Ebro,guiamets,53.43173431734317
Ebro,ip,53.06273062730627
Ebro,irabia,62.7830627306273
Ebro,itoiz,60.54686346863469
Ebro,lanuza,55.871937269372694
Ebro,las fitas,77.36623966942149
Ebro,laverné,69.08495867768596
Ebro,lechago,54.57870588235295
Ebro,llauset,64.96680811808119
Ebro,loteta (la),35.17963099630997
Ebro,maidevera,61.42988929889299
Ebro,mansilla,62.99151291512916
Ebro,mediano,58.882601476014756
Ebro,mequinenza,77.644963099631
Ebro,moneva,31.111623616236162
Ebro,monteagudo,45.276752767527675
Ebro,montearagón,22.509999999999998
Ebro,nagore,93.88235294117646
Ebro,oliana,68.51038745387453
Ebro,pajares,55.371697416974165
Ebro,parras (las),80.0
Ebro,pena,68.4809778597786
Ebro,"peña, la",76.8390221402214
Ebro,puente de santolea,81.65727272727273
Ebro,rialb,70.37356088560885
Ebro,ribarroja,95.85964944649446
Ebro,sallente,32.68763837638377
Ebro,san bartolomé,30.167638376383763
Ebro,san lorenzo,90.0
Ebro,san salvador,88.24270588235294
Ebro,santa ana,63.38776752767527
Ebro,santa maría de belsué,13.51950184501845
Ebro,santolea,47.607177121771215
Ebro,sistema aguas limpias,47.55066420664207
Ebro,sistema alto caldarés,40.8769926199262
Ebro,sistema capdella,60.0
Ebro,sistema escarra,58.37638376383764
Ebro,sistema lagos espot,89.24354243542436
Ebro,sistema valle de arán,52.61361623616236
Ebro,sobrón,88.05350553505535
Ebro,sotonera,71.27562730627307
Ebro,terradets,94.79226937269374
Ebro,terroba,12.5
Ebro,"torcas, las",58.433763837638374
Ebro,"tranquera, la",59.562490774907744
Ebro,tremp ó talárn,68.14745387453874
Ebro,ullivarri,78.2961070110701
Ebro,urdalur,74.88267527675278
Ebro,urdiceto,39.85239852398524
Ebro,urrunaga,71.07182656826568
Ebro,vadiello,68.23108856088561
Ebro,"val, el",74.26953874538745
Ebro,valdepatao,15.885529411764708
Ebro,yesa,63.27533210332104
Galicia Costa,barrie de la maza,49.82125461254612
Galicia Costa,cecebre,68.80265682656827
Galicia Costa,eiras,87.57101476014759
Galicia Costa,eume,83.5190221402214
Galicia Costa,fervenza,60.951974169741696
Galicia Costa,"forcadas, as",78.5159594095941
Galicia Costa,portodemouros,72.70557195571955
Galicia Costa,"ribeira, a",78.13535055350553
Galicia Costa,riocobo,68.75940959409594
Galicia Costa,sta uxia,76.78326568265682
Galicia Costa,villagudín,81.2830811808118
Guadalete-Barbate,almodóvar,58.7630073800738
Guadalete-Barbate,arcos de la frontera,94.70394833948339
Guadalete-Barbate,barbate,55.749391143911446
Guadalete-Barbate,bornos,50.18081180811808
Guadalete-Barbate,celemín,56.00372693726937
Guadalete-Barbate,guadalcacín ii,61.126900369003685
Guadalete-Barbate,"hurones, los",66.31149446494466
Guadalete-Barbate,zahara-el gastor,72.5260701107011
Guadalquivir,agrio (aznalcollar),68.6070110701107
Guadalquivir,aguascebas,77.36835793357933
Guadalquivir,alcalá del río,85.0
Guadalquivir,aracena,71.6479335793358
Guadalquivir,arenoso,49.733856088560884
Guadalquivir,bembézar,61.14826568265683
Guadalquivir,bermejales,59.91660516605166
Guadalquivir,"bolera, la",49.39442804428044
Guadalquivir,"breña ii, la",51.56535055350554
Guadalquivir,cala,48.54559040590406
Guadalquivir,canales,65.6039483394834
Guadalquivir,cantillana,100.0
Guadalquivir,"carpio, el",96.15076923076923
Guadalquivir,colomera,57.7260147601476
Guadalquivir,cordobilla,100.0
Guadalquivir,cubillas,68.74387453874539
Guadalquivir,derivación retortillo,99.03846153846153
Guadalquivir,doña aldonza,100.0
Guadalquivir,el portillo,83.39070110701107
Guadalquivir,encinarejo,81.53884615384617
Guadalquivir,"fernandina, la",55.402490774907754
Guadalquivir,francisco abellán,51.88313653136532
Guadalquivir,fresneda,68.06726937269373
Guadalquivir,gergal,81.6290036900369
Guadalquivir,giribaile,46.554206642066426
Guadalquivir,guadalmellato,64.02372693726937
Guadalquivir,guadalmena,60.81022140221402
Guadalquivir,guadalén,51.92298892988929
Guadalquivir,hornachuelos,96.15461538461538
Guadalquivir,huesna,71.19977859778598
Guadalquivir,iznájar,56.35132841328413
Guadalquivir,josé torán,57.71208487084871
Guadalquivir,jándula,52.4349446494465
Guadalquivir,malpasillo ( jauja ),100.0
Guadalquivir,marmolejo,91.53846153846153
Guadalquivir,martín gonzalo,68.76800738007381
Guadalquivir,"melonares, los",84.85778597785978
Guadalquivir,"minilla, la",76.55881918819188
Guadalquivir,montoro,75.45767527675277
Guadalquivir,negratín,53.50252767527675
Guadalquivir,pedro marín,96.7626923076923
Guadalquivir,"pintado, el",67.6200922509225
Guadalquivir,puebla de cazalla,39.632656826568265
