ambito_nombre,embalse_nombre,mes,2020,2021,media_5,media_10
Cantábrico Occidental,Alfilorios,1,7.333333333333333,7.0,6.36,5.925
Cantábrico Occidental,Alfilorios,2,7.666666666666667,7.5,7.3,6.925
Cantábrico Occidental,Alfilorios,3,7.733333333333333,7.6,7.35,7.57
Cantábrico Occidental,Alfilorios,4,8.0,8.0,7.4,7.7
Cantábrico Occidental,Alfilorios,5,8.0,8.0,7.2,7.6
Cantábrico Occidental,Alfilorios,6,8.0,8.0,6.95,7.35
Cantábrico Occidental,Alfilorios,7,7.625,8.0,6.609999999999999,6.834999999999999
Cantábrico Occidental,Alfilorios,8,6.777777777777778,7.2,5.91,5.9350000000000005
Cantábrico Occidental,Alfilorios,9,5.555555555555555,5.75,5.2299999999999995,5.11
Cantábrico Occidental,Alfilorios,10,5.125,4.5,4.61,4.305
Cantábrico Occidental,Alfilorios,11,5.0,4.2,5.04,4.59
Cantábrico Occidental,Alfilorios,12,6.0,6.0,6.18,5.37
Cantábrico Occidental,Alsa - Mediajo,1,21.166666666666668,21.25,19.71,19.73
Cantábrico Occidental,Alsa - Mediajo,2,20.916666666666668,21.25,20.8,21.0
Cantábrico Occidental,Alsa - Mediajo,3,20.866666666666667,20.9,20.53,21.185
Cantábrico Occidental,Alsa - Mediajo,4,21.416666666666668,21.125,21.130000000000003,21.669999999999998
Cantábrico Occidental,Alsa - Mediajo,5,21.636363636363637,21.428571428571427,21.55,21.84
Cantábrico Occidental,Alsa - Mediajo,6,21.3,21.0,21.669999999999998,21.919999999999998
Cantábrico Occidental,Alsa - Mediajo,7,21.125,21.0,20.54,20.895
Cantábrico Occidental,Alsa - Mediajo,8,20.333333333333332,20.2,20.619999999999997,20.535
Cantábrico Occidental,Alsa - Mediajo,9,19.333333333333332,19.0,19.97,19.865000000000002
Cantábrico Occidental,Alsa - Mediajo,10,19.25,18.25,18.9,18.165
Cantábrico Occidental,Alsa - Mediajo,11,19.666666666666668,18.6,19.97,18.505000000000003
Cantábrico Occidental,Alsa - Mediajo,12,21.555555555555557,22.0,20.96,20.085
Cantábrico Occidental,Arbón,1,37.0,36.875,36.87,36.025
Cantábrico Occidental,Arbón,2,37.083333333333336,37.0,37.4,36.225
Cantábrico Occidental,Arbón,3,37.0,36.9,37.19,36.015
Cantábrico Occidental,Arbón,4,37.166666666666664,36.875,37.14,35.995
Cantábrico Occidental,Arbón,5,37.18181818181818,37.142857142857146,37.06,35.864999999999995
Cantábrico Occidental,Arbón,6,37.4,37.0,37.010000000000005,35.97
Cantábrico Occidental,Arbón,7,36.5,36.75,36.55,35.730000000000004
Cantábrico Occidental,Arbón,8,36.55555555555556,36.2,36.739999999999995,35.685
Cantábrico Occidental,Arbón,9,37.44444444444444,37.25,37.32,35.855000000000004
Cantábrico Occidental,Arbón,10,36.5,36.25,36.8,35.864999999999995
Cantábrico Occidental,Arbón,11,37.22222222222222,36.8,37.010000000000005,35.975
Cantábrico Occidental,Arbón,12,36.77777777777778,36.75,37.05,36.18
Cantábrico Occidental,"Barca, La",1,16.5,16.375,16.57,18.1
Cantábrico Occidental,"Barca, La",2,17.75,17.875,18.5,20.075
Cantábrico Occidental,"Barca, La",3,18.933333333333334,21.1,19.15,19.755000000000003
Cantábrico Occidental,"Barca, La",4,21.416666666666668,24.125,23.41,24.544999999999998
Cantábrico Occidental,"Barca, La",5,27.272727272727273,28.714285714285715,27.49,27.839999999999996
