ambito_nombre_x,embalse_nombre,volumen_medio_10,ambito_nombre_y,porcentaje_medio_10,ambito_nombre,provincia
Cantábrico Occidental,alfilorios,6.300738007380073,Cantábrico Occidental,78.75922509225093,Cantábrico Occidental,Asturias
Cantábrico Occidental,alsa - mediajo,20.47970479704797,Cantábrico Occidental,76.2189667896679,Cantábrico Occidental,Cantabria
Cantábrico Occidental,arbón,35.98708487084871,Cantábrico Occidental,90.8350553505535,Cantábrico Occidental,Asturias
Cantábrico Occidental,"barca, la",24.239852398523986,Cantábrico Occidental,71.2940590405904,Cantábrico Occidental,Asturias
Cantábrico Occidental,"cohilla, la",5.049815498154982,Cantábrico Occidental,42.08223247232472,Cantábrico Occidental,Cantabria
Cantábrico Occidental,doiras,90.76014760147602,Cantábrico Occidental,84.72476014760147,Cantábrico Occidental,Asturias
Cantábrico Occidental,rioseco,3.049382716049383,Cantábrico Occidental,76.23456790123457,Cantábrico Occidental,Asturias
Cantábrico Occidental,salime,186.81918819188192,Cantábrico Occidental,70.23243542435425,Cantábrico Occidental,Asturias
Cantábrico Occidental,somiedo (lagos),2.23,Cantábrico Occidental,37.16546666666667,Cantábrico Occidental,Asturias
Cantábrico Occidental,tanes,28.494464944649447,Cantábrico Occidental,78.7609594095941,Cantábrico Occidental,Asturias
Cantábrico Oriental,añarbe,31.223247232472325,Cantábrico Oriental,76.9081180811808,Cantábrico Oriental,Gipuzkoa
Cantábrico Oriental,ibiur,6.645756457564576,Cantábrico Oriental,83.0719557195572,Cantábrico Oriental,Gipuzkoa
Cantábrico Oriental,ordunte,18.166051660516604,Cantábrico Oriental,82.57263837638376,Cantábrico Oriental,Burgos
Cantábrico Oriental,san antón,4.706642066420664,Cantábrico Oriental,94.13284132841328,Cantábrico Oriental,Navarra
Cuenca Mediterránea Andaluza,benínar,8.138376383763838,Cuenca Mediterránea Andaluza,13.010535055350553,Cuenca Mediterránea Andaluza,Almería
Cuenca Mediterránea Andaluza,béznar,39.40959409594096,Cuenca Mediterránea Andaluza,74.35780442804428,Cuenca Mediterránea Andaluza,Granada
Cuenca Mediterránea Andaluza,casasola,11.79520295202952,Cuenca Mediterránea Andaluza,52.58780442804428,Cuenca Mediterránea Andaluza,Málaga
Cuenca Mediterránea Andaluza,charco redondo,44.33210332103321,Cuenca Mediterránea Andaluza,54.06367158671586,Cuenca Mediterránea Andaluza,Cádiz
Cuenca Mediterránea Andaluza,concepción,44.079335793357934,Cuenca Mediterránea Andaluza,71.09584870848708,Cuenca Mediterránea Andaluza,Málaga
Cuenca Mediterránea Andaluza,conde guadalhorce,42.21955719557196,Cuenca Mediterránea Andaluza,63.96878228782288,Cuenca Mediterránea Andaluza,Málaga
Cuenca Mediterránea Andaluza,cuevas de almanzora,19.562730627306273,Cuenca Mediterránea Andaluza,12.150276752767528,Cuenca Mediterránea Andaluza,Almería
Cuenca Mediterránea Andaluza,guadalhorce-guadalteba,197.26383763837637,Cuenca Mediterránea Andaluza,70.7039852398524,Cuenca Mediterránea Andaluza,Málaga
Cuenca Mediterránea Andaluza,guadarranque,55.76383763837639,Cuenca Mediterránea Andaluza,63.3681180811808,Cuenca Mediterránea Andaluza,Cádiz
Cuenca Mediterránea Andaluza,limonero,10.861623616236162,Cuenca Mediterránea Andaluza,46.93285977859779,Cuenca Mediterránea Andaluza,Málaga
Cuenca Mediterránea Andaluza,rules,82.42988929889299,Cuenca Mediterránea Andaluza,74.26088560885609,Cuenca Mediterránea Andaluza,Granada
Cuenca Mediterránea Andaluza,"viñuela, la",84.0129151291513,Cuenca Mediterránea Andaluza,50.91690036900369,Cuenca Mediterránea Andaluza,Málaga
Cuencas Internas de Cataluña,boadella,39.53690036900369,Cuencas Internas de Cataluña,64.81440959409593,Cuencas Internas de Cataluña,Girona
Cuencas Internas de Cataluña,catllar,2.090909090909091,Cuencas Internas de Cataluña,3.544090909090909,Cuencas Internas de Cataluña,Tarragona
Cuencas Internas de Cataluña,la baells,88.68819188191883,Cuencas Internas de Cataluña,81.36584870848709,Cuencas Internas de Cataluña,Barcelona
Cuencas Internas de Cataluña,la llosa del cavall,64.4280442804428,Cuencas Internas de Cataluña,80.5350553505535,Cuencas Internas de Cataluña,Lleida
Cuencas Internas de Cataluña,riudecanyes,2.485239852398524,Cuencas Internas de Cataluña,49.70479704797048,Cuencas Internas de Cataluña,Tarragona
Cuencas Internas de Cataluña,sant pons,22.30811808118081,Cuencas Internas de Cataluña,92.9509778597786,Cuencas Internas de Cataluña,Lleida
Cuencas Internas de Cataluña,sau,116.880073800738,Cuencas Internas de Cataluña,70.83653136531366,Cuencas Internas de Cataluña,Barcelona
Cuencas Internas de Cataluña,susqueda,184.6771217712177,Cuencas Internas de Cataluña,79.26042435424354,Cuencas Internas de Cataluña,Girona
Cuencas Internas del País Vasco,ibai-eder,9.011070110701107,Cuencas Internas del País Vasco,81.92046125461255,Cuencas Internas del País Vasco,Gipuzkoa
Cuencas Internas del País Vasco,urkulu,8.470479704797048,Cuencas Internas del País Vasco,84.70479704797047,Cuencas Internas del País Vasco,Gipuzkoa
Duero,"agavanzal, nª sª de",29.916974169741696,Duero,83.10322878228781,Duero,Zamora
Duero,aguilar,135.3560885608856,Duero,54.80014760147601,Duero,Palencia
Duero,aldeadávila,107.14944649446494,Duero,93.94608856088561,Duero,Salamanca
Duero,almendra,1704.3136531365315,Duero,64.41335793357933,Duero,Salamanca
Duero,arlanzón,17.56088560885609,Duero,79.82232472324722,Duero,Burgos
Duero,barrios de luna,176.0590405904059,Duero,57.16177121771218,Duero,León
Duero,burgomillodo,10.153136531365314,Duero,72.52232472324722,Duero,Segovia
Duero,camporredondo,36.92988929889299,Duero,52.75675276752767,Duero,Palencia
Duero,casares de arbas,23.173431734317344,Duero,62.630535055350556,Duero,León
Duero,castro,24.361623616236162,Duero,90.4158856088561,Duero,Zamora
Duero,castro de las cogotas,33.29520295202952,Duero,56.43273062730628,Duero,Ávila
Duero,cernadilla,120.30627306273063,Duero,47.178856088560885,Duero,Zamora
Duero,cervera,6.178966789667896,Duero,61.52963099630996,Duero,Palencia
Duero,compuerto,54.56642066420664,Duero,57.4379520295203,Duero,Palencia
Duero,cuerda del pozo,165.09409594095942,Duero,66.30278597785978,Duero,Soria
Duero,linares del arroyo,34.15129151291513,Duero,61.93636531365314,Duero,Segovia
Duero,"pontón alto, el",6.199261992619927,Duero,88.56077490774908,Duero,Segovia
Duero,porma-(juan benet),190.05535055350555,Duero,59.765645756457566,Duero,León
Duero,puente porto,6.243542435424354,Duero,27.145664206642063,Duero,Zamora
Duero,requejada,31.149446494464943,Duero,47.238265682656824,Duero,Palencia
Duero,riaño,408.43173431734317,Duero,63.602343173431734,Duero,León
Duero,ricobayo,635.0848708487085,Duero,55.361752767527676,Duero,Zamora
Duero,rábanos,8.0,Duero,100.0,Duero,Soria
Duero,san josé,6.0,Duero,100.0,Duero,Valladolid
Duero,santa teresa,337.8948339483395,Duero,68.12398523985239,Duero,Salamanca
Duero,saucelle,175.94280442804427,Duero,97.20682656826568,Duero,Salamanca
Duero,serones,3.876383763837638,Duero,64.60621771217713,Duero,Ávila
Duero,valparaíso,151.7952029520295,Duero,90.03191881918819,Duero,Zamora
Duero,"vencías, las",4.6642066420664205,Duero,93.28413284132841,Duero,Segovia
Duero,villagonzalo,6.0,Duero,100.0,Duero,Salamanca
Duero,villalcampo,61.59040590405904,Duero,93.31669741697418,Duero,Zamora
Duero,villameca,10.85239852398524,Duero,54.2619926199262,Duero,León
Duero,águeda,13.603321033210332,Duero,61.52571955719558,Duero,Salamanca
Duero,úzquiza,48.49815498154982,Duero,64.66435424354243,Duero,Valladolid
Ebro,albiña,3.6014760147601477,Ebro,72.02952029520296,Ebro,Álava
Ebro,alcañiz (estanca),5.084870848708487,Ebro,72.63974169741697,Ebro,Teruel
Ebro,alloz,41.91881918819188,Ebro,63.51321033210331,Ebro,Navarra
Ebro,barasona,59.17158671586716,Ebro,69.61345018450184,Ebro,Huesca
Ebro,baserca,12.691881918819188,Ebro,57.69027675276753,Ebro,Huesca
Ebro,búbal,32.32841328413284,Ebro,50.85232472324723,Ebro,Huesca
Ebro,calanda,31.079335793357934,Ebro,57.55415129151291,Ebro,Teruel
Ebro,camarasa,95.70664206642067,Ebro,70.54566420664207,Ebro,Lleida
Ebro,canelles,445.76014760147604,Ebro,65.64929889298892,Ebro,Huesca
Ebro,caspe,42.81180811808118,Ebro,52.209372693726934,Ebro,Zaragoza
Ebro,cavallers,9.653136531365314,Ebro,60.33210332103321,Ebro,Lleida
Ebro,certescáns,11.97970479704797,Ebro,74.87315498154982,Ebro,Lleida
Ebro,ciurana,7.885608856088561,Ebro,65.71413284132841,Ebro,Tarragona
Ebro,cueva foradada,14.134686346863468,Ebro,64.24809963099631,Ebro,Teruel
Ebro,ebro,368.8708487084871,Ebro,68.18324723247233,Ebro,Cantabria
Ebro,enciso,24.32941176470588,Ebro,52.89070588235294,Ebro,La Rioja
Ebro,escales,109.9649446494465,Ebro,72.34525830258302,Ebro,Huesca
Ebro,eúgui,15.99630996309963,Ebro,76.17178966789668,Ebro,Navarra
Ebro,gonzález lacasa,19.566420664206642,Ebro,59.2919926199262,Ebro,La Rioja
Ebro,"grado, el",345.22878228782287,Ebro,86.42590405904059,Ebro,Huesca
Ebro,guiamets,5.343173431734317,Ebro,53.43173431734317,Ebro,Tarragona
Ebro,ip,2.6531365313653135,Ebro,53.06273062730627,Ebro,Huesca
Ebro,irabia,8.789667896678967,Ebro,62.7830627306273,Ebro,Navarra
Ebro,itoiz,252.47970479704796,Ebro,60.54686346863469,Ebro,Navarra
Ebro,lanuza,9.498154981549815,Ebro,55.871937269372694,Ebro,Huesca
Ebro,las fitas,6.962809917355372,Ebro,77.36623966942149,Ebro,Huesca
Ebro,laverné,26.25206611570248,Ebro,69.08495867768596,Ebro,Zaragoza
Ebro,lechago,9.823529411764707,Ebro,54.57870588235295,Ebro,Teruel
Ebro,llauset,11.044280442804428,Ebro,64.96680811808119,Ebro,Huesca
Ebro,loteta (la),36.586715867158674,Ebro,35.17963099630997,Ebro,Zaragoza
Ebro,maidevera,12.285977859778598,Ebro,61.42988929889299,Ebro,Zaragoza
Ebro,mansilla,42.83394833948339,Ebro,62.99151291512916,Ebro,La Rioja
Ebro,mediano,256.48339483394835,Ebro,58.882601476014756,Ebro,Huesca
Ebro,mequinenza,1191.018450184502,Ebro,77.644963099631,Ebro,Zaragoza
Ebro,moneva,2.488929889298893,Ebro,31.111623616236162,Ebro,Zaragoza
Ebro,monteagudo,4.527675276752768,Ebro,45.276752767527675,Ebro,Soria
