cuenca_hidrografica,embalse_nombre,porcentaje_medio_10
Cantábrico Occidental,Alfilorios,78.23275862068965
Cantábrico Occidental,Alsa - Mediajo,75.42109195402298
Cantábrico Occidental,Arbón,90.85785440613027
Cantábrico Occidental,"Barca, La",71.71557471264367
Cantábrico Occidental,"Cohilla, La",41.82676245210728
Cantábrico Occidental,Doiras,84.81888888888889
Cantábrico Occidental,Rioseco,76.00896860986548
Cantábrico Occidental,Salime,71.13224137931034
Cantábrico Occidental,Somiedo (Lagos),37.16546666666667
Cantábrico Occidental,Tanes,78.70214559386973
Cantábrico Oriental,Añarbe,76.81482758620689
Cantábrico Oriental,Ibiur,82.54310344827586
Cantábrico Oriental,Ordunte,82.00074712643678
Cantábrico Oriental,San Antón,93.9080459770115
Cuenca Mediterránea Andaluza,Benínar,13.046743295019157
Cuenca Mediterránea Andaluza,Béznar,74.5645785440613
Cuenca Mediterránea Andaluza,Casasola,52.687030651341
Cuenca Mediterránea Andaluza,Charco Redondo,54.99270114942529
Cuenca Mediterránea Andaluza,Concepción,71.4653448275862
Cuenca Mediterránea Andaluza,Conde Guadalhorce,64.38795019157088
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,12.123256704980843
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,71.65517241379311
Cuenca Mediterránea Andaluza,Guadarranque,64.15243295019157
Cuenca Mediterránea Andaluza,Limonero,46.858927203065136
Cuenca Mediterránea Andaluza,Rules,74.9436398467433
Cuenca Mediterránea Andaluza,"Viñuela, La",52.25471264367816
Cuencas Internas de Cataluña,Boadella,65.33501915708811
Cuencas Internas de Cataluña,Catllar,3.544090909090909
Cuencas Internas de Cataluña,La Baells,82.37070881226055
Cuencas Internas de Cataluña,La Llosa del Cavall,81.669061302682
Cuencas Internas de Cataluña,Riudecanyes,50.842911877394634
Cuencas Internas de Cataluña,Sant Pons,93.51900383141762
Cuencas Internas de Cataluña,Sau,71.53268199233716
Cuencas Internas de Cataluña,Susqueda,79.85613026819924
Cuencas Internas del País Vasco,Ibai-Eder,81.36706896551725
Cuencas Internas del País Vasco,Urkulu,84.11877394636015
Duero,"Agavanzal, Nª Sª de",83.33913793103449
Duero,Aguilar,55.39666666666667
Duero,Aldeadávila,94.04854406130268
Duero,Almendra,65.5173754789272
Duero,Arlanzón,79.37145593869732
Duero,Barrios de Luna,56.6611877394636
Duero,Burgomillodo,72.23582375478927
Duero,Camporredondo,52.750153256704984
Duero,Casares de Arbas,62.327547892720304
Duero,Castro,90.43181992337165
Duero,Castro de las Cogotas,55.60114942528735
Duero,Cernadilla,48.20293103448276
Duero,Cervera,61.894750957854406
Duero,Compuerto,57.50519157088122
Duero,Cuerda del Pozo,66.47808429118774
Duero,Linares del Arroyo,61.86080459770115
Duero,"Pontón Alto, El",88.12249042145595
Duero,Porma-(Juan Benet),58.99944444444444
Duero,Puente Porto,27.36950191570881
Duero,Requejada,47.05699233716475
Duero,Riaño,62.87570881226054
Duero,Ricobayo,56.09996168582376
Duero,Rábanos,100.0
Duero,San José,100.0
Duero,Santa Teresa,68.06404214559387
Duero,Saucelle,97.17699233716475
Duero,Serones,63.25013409961686
Duero,Valparaíso,89.96850574712643
Duero,"Vencías, Las",93.79310344827586
Duero,Villagonzalo,100.0
Duero,Villalcampo,93.28999999999999
Duero,Villameca,54.39655172413793
Duero,Águeda,60.75701149425287
Duero,Úzquiza,64.7689846743295
Ebro,Albiña,71.7624521072797
Ebro,Alcañiz (Estanca),72.22103448275861
Ebro,Alloz,62.82931034482759
Ebro,Barasona,69.22908045977012
Ebro,Baserca,59.01241379310345
Ebro,Búbal,50.364980842911876
Ebro,Calanda,57.27952107279693
Ebro,Camarasa,71.0367049808429
Ebro,Canelles,65.98340996168584
Ebro,Caspe,52.49727969348659
Ebro,Cavallers,61.68582375478927
Ebro,Certescáns,75.52681992337165
Ebro,Ciurana,66.95490421455939
Ebro,Cueva Foradada,63.06992337164751
Ebro,Ebro,68.1533141762452
Ebro,Enciso,45.78661538461539
Ebro,Escales,72.92793103448275
Ebro,Eúgui,76.04340996168582
Ebro,González Lacasa,58.64942528735632
Ebro,"Grado, El",86.05524904214559
Ebro,Guiamets,54.13793103448276
